field1,field2,field3,field4,field5,field6,field7,field8,field9,field10,field11,field12,field13,field14
8MQ2M0108ADE,"RECTANGULAR MODULE, PLUG, 1POS, 1ROW",Manufacturer:SOURIAU-SUNBANK / EATON=Manufacturer Part No:8MQ2M0108ADE=Order Code:3874074,Product Range:MQuick Series=No. of Contacts:1Contacts=No. of Rows:1 Row=Gender:Plug (View Associated Connectors)=Rectangular Shell Size:-=Contact Gender:Pin=Contact Termination Type:Crimp=Contact Material:-,,,,£70.15,1+:£70.15=5+:£66.94=10+:£65.46=25+:£63.73=50+:£59.53=100+:£56.31,"Country of Origin:France, , Country in which last significant manufacturing process was carried out=Tariff No:0, =US ECCN:EAR99 =EU ECCN:NLR =RoHS Compliant:Yes  =RoHS Phthalates Compliant:Yes , +,  =SVHC:No SVHC (17-Jan-2022) =Download Product Compliance Certificate:Product Compliance Certificate=Weight (kg):0=Product traceability:Date/Lot Code",72AJ7757-40.jpg,,Connectors\Rectangular Power Connectors & Components\Rectangular Power Connector Inserts - Modules,Rectangular Power Connector Inserts - Modules
8MQ2M1220ACE,"RECTANGULAR MODULE, PLUG, 12POS, 3ROW",Manufacturer:SOURIAU-SUNBANK / EATON=Manufacturer Part No:8MQ2M1220ACE=Order Code:3874276,Product Range:MQuick Series=No. of Contacts:12Contacts=No. of Rows:3 Row=Gender:Plug (View Associated Connectors)=Rectangular Shell Size:-=Contact Gender:Pin=Contact Termination Type:Crimp=Contact Material:-,,,,£39.99,1+:£39.99=100+:£31.01=500+:£25.05=1000+:£24.87=2500+:£24.69,"Country of Origin:France, , Country in which last significant manufacturing process was carried out=Tariff No:0, =US ECCN:EAR99 =EU ECCN:NLR =RoHS Compliant:Yes  =RoHS Phthalates Compliant:Yes , +,  =SVHC:No SVHC (17-Jan-2022) =Download Product Compliance Certificate:Product Compliance Certificate=Weight (kg):0=Product traceability:Date/Lot Code",72AJ7949-40.jpg,,Connectors\Rectangular Power Connectors & Components\Rectangular Power Connector Inserts - Modules,Rectangular Power Connector Inserts - Modules
8MQ2M9901BN,"RECTANGULAR MODULE, RCPT, 11POS, 3ROW",Manufacturer:SOURIAU-SUNBANK / EATON=Manufacturer Part No:8MQ2M9901BN=Order Code:3874425,Product Range:MQuick Series=No. of Contacts:11Contacts=No. of Rows:3 Row=Gender:Receptacle (View Associated Connectors)=Rectangular Shell Size:-=Contact Gender:Socket=Contact Termination Type:Crimp=Contact Material:-,,,,£52.86,1+:£52.86=5+:£50.44=10+:£49.32=25+:£48.02=50+:£44.86=100+:£42.44,"Country of Origin:France, , Country in which last significant manufacturing process was carried out=Tariff No:0, =US ECCN:EAR99 =EU ECCN:NLR =RoHS Compliant:Yes  =RoHS Phthalates Compliant:Yes , +,  =SVHC:No SVHC (17-Jan-2022) =Download Product Compliance Certificate:Product Compliance Certificate=Weight (kg):0",72AJ8076-40.jpg,,Connectors\Rectangular Power Connectors & Components\Rectangular Power Connector Inserts - Modules,Rectangular Power Connector Inserts - Modules
8MQ2M01L28AAE,"RECTANGULAR MODULE, PLUG, 1POS, 1ROW",Manufacturer:SOURIAU-SUNBANK / EATON=Manufacturer Part No:8MQ2M01L28AAE=Order Code:3874040,Product Range:MQuick Series=No. of Contacts:1Contacts=No. of Rows:1 Row=Gender:Plug (View Associated Connectors)=Rectangular Shell Size:-=Contact Gender:Pin=Contact Termination Type:Crimp=Contact Material:-,,,,£36.95,1+:£36.95=5+:£36.07,"Country of Origin:France, , Country in which last significant manufacturing process was carried out=Tariff No:0, =US ECCN:EAR99 =EU ECCN:NLR =RoHS Compliant:Yes  =RoHS Phthalates Compliant:Yes , +,  =SVHC:No SVHC (17-Jan-2022) =Download Product Compliance Certificate:Product Compliance Certificate=Weight (kg):0=Product traceability:Date/Lot Code",72AJ7733-40.jpg,,Connectors\Rectangular Power Connectors & Components\Rectangular Power Connector Inserts - Modules,Rectangular Power Connector Inserts - Modules
8MQ2M0108SA,"RECTANGULAR MODULE, RCPT, 1POS, 1ROW",Manufacturer:SOURIAU-SUNBANK / EATON=Manufacturer Part No:8MQ2M0108SA=Order Code:3874099,Product Range:MQuick Series=No. of Contacts:1Contacts=No. of Rows:1 Row=Gender:Receptacle (View Associated Connectors)=Rectangular Shell Size:-=Contact Gender:Socket=Contact Termination Type:Crimp=Contact Material:Copper Alloy,,,,£168.73,1+:£168.73=5+:£165.42=10+:£162.12=25+:£157.71=50+:£146.68=100+:£138.96,"Country of Origin:France, , Country in which last significant manufacturing process was carried out=Tariff No:0, =US ECCN:EAR99 =EU ECCN:NLR =RoHS Compliant:Yes  =RoHS Phthalates Compliant:Yes , +,  =SVHC:No SVHC (17-Jan-2022) =Download Product Compliance Certificate:Product Compliance Certificate=Weight (kg):0=Product traceability:Date/Lot Code",72AJ7792-40.jpg,,Connectors\Rectangular Power Connectors & Components\Rectangular Power Connector Inserts - Modules,Rectangular Power Connector Inserts - Modules
8MQ2M0816SN,"RECTANGULAR MODULE, RCPT, 8POS, 3ROW",Manufacturer:SOURIAU-SUNBANK / EATON=Manufacturer Part No:8MQ2M0816SN=Order Code:3874226,Product Range:MQuick Series=No. of Contacts:8Contacts=No. of Rows:3 Row=Gender:Receptacle (View Associated Connectors)=Rectangular Shell Size:-=Contact Gender:Socket=Contact Termination Type:Crimp=Contact Material:Copper Alloy,,,,£65.19,1+:£65.19=100+:£49.35=500+:£42.15=1000+:£36.58=2500+:£32.52,"Country of Origin:France, , Country in which last significant manufacturing process was carried out=Tariff No:0, =US ECCN:EAR99 =EU ECCN:NLR =RoHS Compliant:Yes  =RoHS Phthalates Compliant:Yes , +,  =SVHC:No SVHC (17-Jan-2022) =Download Product Compliance Certificate:Product Compliance Certificate=Weight (kg):0=Product traceability:Date/Lot Code",72AJ7896-40.jpg,,Connectors\Rectangular Power Connectors & Components\Rectangular Power Connector Inserts - Modules,Rectangular Power Connector Inserts - Modules
8MQ2M1220PN,"RECTANGULAR MODULE, PLUG, 12POS, 3ROW",Manufacturer:SOURIAU-SUNBANK / EATON=Manufacturer Part No:8MQ2M1220PN=Order Code:3874302,Product Range:MQuick Series=No. of Contacts:12Contacts=No. of Rows:3 Row=Gender:Plug (View Associated Connectors)=Rectangular Shell Size:-=Contact Gender:Pin=Contact Termination Type:Crimp=Contact Material:Copper Alloy,,,,£52.27,1+:£52.27=5+:£49.88=10+:£48.77=25+:£47.48=50+:£44.35=100+:£41.96,"Country of Origin:France, , Country in which last significant manufacturing process was carried out=Tariff No:0, =US ECCN:EAR99 =EU ECCN:NLR =RoHS Compliant:Yes  =RoHS Phthalates Compliant:Yes , +,  =SVHC:No SVHC (17-Jan-2022) =Download Product Compliance Certificate:Product Compliance Certificate=Weight (kg):0=Product traceability:Date/Lot Code",72AJ7970-40.jpg,,Connectors\Rectangular Power Connectors & Components\Rectangular Power Connector Inserts - Modules,Rectangular Power Connector Inserts - Modules
8MQ2M1220RAE,"RECTANGULAR MODULE, PLUG, 12POS, 3ROW",Manufacturer:SOURIAU-SUNBANK / EATON=Manufacturer Part No:8MQ2M1220RAE=Order Code:3874305,Product Range:MQuick Series=No. of Contacts:12Contacts=No. of Rows:3 Row=Gender:Plug (View Associated Connectors)=Rectangular Shell Size:-=Contact Gender:Pin=Contact Termination Type:Through Hole=Contact Material:Copper Alloy,,,,£62.58,1+:£62.58=5+:£61.35=10+:£60.13=25+:£58.49=50+:£54.40=100+:£51.53,"Country of Origin:France, , Country in which last significant manufacturing process was carried out=Tariff No:0, =US ECCN:EAR99 =EU ECCN:NLR =RoHS Compliant:Yes  =RoHS Phthalates Compliant:Yes , +,  =SVHC:No SVHC (17-Jan-2022) =Download Product Compliance Certificate:Product Compliance Certificate=Weight (kg):0=Product traceability:Date/Lot Code",72AJ7975-40.jpg,,Connectors\Rectangular Power Connectors & Components\Rectangular Power Connector Inserts - Modules,Rectangular Power Connector Inserts - Modules
8MQ2M1220SCE,"RECTANGULAR MODULE, RCPT, 12POS, 3ROW",Manufacturer:SOURIAU-SUNBANK / EATON=Manufacturer Part No:8MQ2M1220SCE=Order Code:3874322,Product Range:MQuick Series=No. of Contacts:12Contacts=No. of Rows:3 Row=Gender:Receptacle (View Associated Connectors)=Rectangular Shell Size:-=Contact Gender:Socket=Contact Termination Type:Crimp=Contact Material:Copper Alloy,,,,£103.91,1+:£103.91=5+:£99.16=10+:£96.97=25+:£94.40=50+:£88.19=100+:£83.43,"Country of Origin:France, , Country in which last significant manufacturing process was carried out=Tariff No:0, =US ECCN:EAR99 =EU ECCN:NLR =RoHS Compliant:Yes  =RoHS Phthalates Compliant:Yes , +,  =SVHC:No SVHC (17-Jan-2022) =Download Product Compliance Certificate:Product Compliance Certificate=Weight (kg):0=Product traceability:Date/Lot Code",72AJ7987-40.jpg,,Connectors\Rectangular Power Connectors & Components\Rectangular Power Connector Inserts - Modules,Rectangular Power Connector Inserts - Modules
8MQ2M0108BB,"RECTANGULAR MODULE, RCPT, 1POS, 1ROW",Manufacturer:SOURIAU-SUNBANK / EATON=Manufacturer Part No:8MQ2M0108BB=Order Code:3874079,Product Range:MQuick Series=No. of Contacts:1Contacts=No. of Rows:1 Row=Gender:Receptacle (View Associated Connectors)=Rectangular Shell Size:-=Contact Gender:Socket=Contact Termination Type:Crimp=Contact Material:-,,,,£52.27,1+:£52.27=5+:£49.88=10+:£48.77=25+:£47.48=50+:£44.35=100+:£41.96,"Country of Origin:France, , Country in which last significant manufacturing process was carried out=Tariff No:0, =US ECCN:EAR99 =EU ECCN:NLR =RoHS Compliant:Yes  =RoHS Phthalates Compliant:Yes , +,  =SVHC:No SVHC (17-Jan-2022) =Download Product Compliance Certificate:Product Compliance Certificate=Weight (kg):0=Product traceability:Date/Lot Code",72AJ7772-40.jpg,,Connectors\Rectangular Power Connectors & Components\Rectangular Power Connector Inserts - Modules,Rectangular Power Connector Inserts - Modules
8MQ2M0412BD,"RECTANGULAR MODULE, RCPT, 4POS, 2ROW",Manufacturer:SOURIAU-SUNBANK / EATON=Manufacturer Part No:8MQ2M0412BD=Order Code:3874128,Product Range:MQuick Series=No. of Contacts:4Contacts=No. of Rows:2 Row=Gender:Receptacle (View Associated Connectors)=Rectangular Shell Size:-=Contact Gender:Socket=Contact Termination Type:Crimp=Contact Material:-,,,,£28.73,1+:£28.73=100+:£23.19=500+:£20.06=1000+:£17.27=2500+:£15.24,"Country of Origin:France, , Country in which last significant manufacturing process was carried out=Tariff No:0, =US ECCN:EAR99 =EU ECCN:NLR =RoHS Compliant:Yes  =RoHS Phthalates Compliant:Yes , +,  =SVHC:No SVHC (17-Jan-2022) =Download Product Compliance Certificate:Product Compliance Certificate=Weight (kg):0=Product traceability:Date/Lot Code",72AJ7814-40.jpg,,Connectors\Rectangular Power Connectors & Components\Rectangular Power Connector Inserts - Modules,Rectangular Power Connector Inserts - Modules
8MQ2M0412UCE,"RECTANGULAR MODULE, RCPT, 4POS, 2ROW",Manufacturer:SOURIAU-SUNBANK / EATON=Manufacturer Part No:8MQ2M0412UCE=Order Code:3874168,Product Range:MQuick Series=No. of Contacts:4Contacts=No. of Rows:2 Row=Gender:Receptacle (View Associated Connectors)=Rectangular Shell Size:-=Contact Gender:Socket=Contact Termination Type:Through Hole=Contact Material:Copper Alloy,,,,£77.94,1+:£77.94=5+:£76.42=10+:£74.89=25+:£72.85=50+:£67.76=100+:£64.19,"Country of Origin:France, , Country in which last significant manufacturing process was carried out=Tariff No:0, =US ECCN:EAR99 =EU ECCN:NLR =RoHS Compliant:Yes  =RoHS Phthalates Compliant:Yes , +,  =SVHC:No SVHC (17-Jan-2022) =Download Product Compliance Certificate:Product Compliance Certificate=Weight (kg):0=Product traceability:Date/Lot Code",72AJ7847-40.jpg,,Connectors\Rectangular Power Connectors & Components\Rectangular Power Connector Inserts - Modules,Rectangular Power Connector Inserts - Modules
8MQ2M9901SAE,"RECTANGULAR MODULE, RCPT, 11POS, 3ROW",Manufacturer:SOURIAU-SUNBANK / EATON=Manufacturer Part No:8MQ2M9901SAE=Order Code:3874451,Product Range:MQuick Series=No. of Contacts:11Contacts=No. of Rows:3 Row=Gender:Receptacle (View Associated Connectors)=Rectangular Shell Size:-=Contact Gender:Socket=Contact Termination Type:Crimp=Contact Material:Copper Alloy,,,,£42.27,1+:£42.27=5+:£41.26,"Country of Origin:France, , Country in which last significant manufacturing process was carried out=Tariff No:0, =US ECCN:EAR99 =EU ECCN:NLR =RoHS Compliant:Yes  =RoHS Phthalates Compliant:Yes , +,  =SVHC:No SVHC (17-Jan-2022) =Download Product Compliance Certificate:Product Compliance Certificate=Weight (kg):0=Product traceability:Date/Lot Code",72AJ8105-40.jpg,,Connectors\Rectangular Power Connectors & Components\Rectangular Power Connector Inserts - Modules,Rectangular Power Connector Inserts - Modules
8MQ2M0412UNE,"RECTANGULAR MODULE, RCPT, 4POS, 2ROW",Manufacturer:SOURIAU-SUNBANK / EATON=Manufacturer Part No:8MQ2M0412UNE=Order Code:3874172,Product Range:MQuick Series=No. of Contacts:4Contacts=No. of Rows:2 Row=Gender:Receptacle (View Associated Connectors)=Rectangular Shell Size:-=Contact Gender:Socket=Contact Termination Type:Through Hole=Contact Material:Copper Alloy,,,,£77.94,1+:£77.94=5+:£76.42=10+:£74.89=25+:£72.85=50+:£67.76=100+:£64.19,"Country of Origin:France, , Country in which last significant manufacturing process was carried out=Tariff No:0, =US ECCN:EAR99 =EU ECCN:NLR =RoHS Compliant:Yes  =RoHS Phthalates Compliant:Yes , +,  =SVHC:No SVHC (17-Jan-2022) =Download Product Compliance Certificate:Product Compliance Certificate=Weight (kg):0=Product traceability:Date/Lot Code",72AJ7847-40.jpg,,Connectors\Rectangular Power Connectors & Components\Rectangular Power Connector Inserts - Modules,Rectangular Power Connector Inserts - Modules
8MQ2M0816BNE,"RECTANGULAR MODULE, RCPT, 8POS, 3ROW",Manufacturer:SOURIAU-SUNBANK / EATON=Manufacturer Part No:8MQ2M0816BNE=Order Code:3874194,Product Range:MQuick Series=No. of Contacts:8Contacts=No. of Rows:3 Row=Gender:Receptacle (View Associated Connectors)=Rectangular Shell Size:-=Contact Gender:Socket=Contact Termination Type:Crimp=Contact Material:-,,,,£34.79,1+:£34.79=100+:£26.77=500+:£23.03=1000+:£19.98=2500+:£17.77,"Country of Origin:France, , Country in which last significant manufacturing process was carried out=Tariff No:0, =US ECCN:EAR99 =EU ECCN:NLR =RoHS Compliant:Yes  =RoHS Phthalates Compliant:Yes , +,  =SVHC:No SVHC (17-Jan-2022) =Download Product Compliance Certificate:Product Compliance Certificate=Weight (kg):0",72AJ7873-40.jpg,,Connectors\Rectangular Power Connectors & Components\Rectangular Power Connector Inserts - Modules,Rectangular Power Connector Inserts - Modules
8MQ2M1220AN,"RECTANGULAR MODULE, PLUG, 12POS, 3ROW",Manufacturer:SOURIAU-SUNBANK / EATON=Manufacturer Part No:8MQ2M1220AN=Order Code:3874281,Product Range:MQuick Series=No. of Contacts:12Contacts=No. of Rows:3 Row=Gender:Plug (View Associated Connectors)=Rectangular Shell Size:-=Contact Gender:Pin=Contact Termination Type:Crimp=Contact Material:-,,,,£29.75,1+:£29.75=100+:£22.68=500+:£19.18=1000+:£16.88=2500+:£15.21,"Country of Origin:France, , Country in which last significant manufacturing process was carried out=Tariff No:0, =US ECCN:EAR99 =EU ECCN:NLR =RoHS Compliant:Yes  =RoHS Phthalates Compliant:Yes , +,  =SVHC:No SVHC (17-Jan-2022) =Download Product Compliance Certificate:Product Compliance Certificate=Weight (kg):0=Product traceability:Date/Lot Code",72AJ7946-40.jpg,,Connectors\Rectangular Power Connectors & Components\Rectangular Power Connector Inserts - Modules,Rectangular Power Connector Inserts - Modules
8MQ2M1220PA,"RECTANGULAR MODULE, PLUG, 12POS, 3ROW",Manufacturer:SOURIAU-SUNBANK / EATON=Manufacturer Part No:8MQ2M1220PA=Order Code:3874294,Product Range:MQuick Series=No. of Contacts:12Contacts=No. of Rows:3 Row=Gender:Plug (View Associated Connectors)=Rectangular Shell Size:-=Contact Gender:Pin=Contact Termination Type:Crimp=Contact Material:Copper Alloy,,,,£52.27,1+:£52.27=5+:£49.88=10+:£48.77=25+:£47.48=50+:£44.35=100+:£41.96,"Country of Origin:France, , Country in which last significant manufacturing process was carried out=Tariff No:0, =US ECCN:EAR99 =EU ECCN:NLR =RoHS Compliant:Yes  =RoHS Phthalates Compliant:Yes , +,  =SVHC:No SVHC (17-Jan-2022) =Download Product Compliance Certificate:Product Compliance Certificate=Weight (kg):0=Product traceability:Date/Lot Code",72AJ7970-40.jpg,,Connectors\Rectangular Power Connectors & Components\Rectangular Power Connector Inserts - Modules,Rectangular Power Connector Inserts - Modules
8MQ2M1220RBE,"RECTANGULAR MODULE, PLUG, 12POS, 3ROW",Manufacturer:SOURIAU-SUNBANK / EATON=Manufacturer Part No:8MQ2M1220RBE=Order Code:3874307,Product Range:MQuick Series=No. of Contacts:12Contacts=No. of Rows:3 Row=Gender:Plug (View Associated Connectors)=Rectangular Shell Size:-=Contact Gender:Pin=Contact Termination Type:Through Hole=Contact Material:Copper Alloy,,,,£62.58,1+:£62.58=5+: £61.35=10+: £60.13=25+: £58.49=50+: £54.40=100+: £51.53,"Country of Origin:France, , Country in which last significant manufacturing process was carried out=Tariff No:0, =US ECCN:EAR99 =EU ECCN:NLR =RoHS Compliant:Yes  =RoHS Phthalates Compliant:Yes , +,  =SVHC:No SVHC (17-Jan-2022) =Download Product Compliance Certificate:Product Compliance Certificate=Weight (kg):0=Product traceability:Date/Lot Code",72AJ7975-40.jpg,,Connectors\Rectangular Power Connectors & Components\Rectangular Power Connector Inserts - Modules,Rectangular Power Connector Inserts - Modules
